生產日期,機台號,班別,產能,OEE,良率
2022/12/22,h01,D,1920,73,93.3
2022/12/22,h01,D,1920,73,93.3
2022/12/22,h01,N,0,0,0
2022/12/22,h01,N,0,0,0
2022/12/22,h02,D,1842,70,91.2
2022/12/22,h02,D,1842,70,91.2
2022/12/22,h02,N,0,0,0
2022/12/22,h02,N,0,0,0
2022/12/22,h06,D,2079,67.5,96.6
2022/12/22,h06,D,2079,67.5,96.6
2022/12/22,h06,N,1956,63.5,95.5
2022/12/22,h06,N,1956,63.5,95.5
2022/12/22,h08,D,1644,62.1,92.4
2022/12/22,h08,D,1644,62.1,92.4
2022/12/22,h08,N,0,0,0
2022/12/22,h08,N,0,0,0
2022/12/22,h10,D,2122,68.9,94.6
2022/12/22,h10,D,2122,68.9,94.6
2022/12/22,h10,N,0,0,0
2022/12/22,h10,N,0,0,0
2022/12/22,h14,D,1918,62.2,91.6
2022/12/22,h14,D,1918,62.2,91.6
2022/12/22,h14,N,971,31.5,87.2
2022/12/22,h14,N,971,31.5,87.2
2022/12/22,h15,D,0,0,0
2022/12/22,h15,D,0,0,0
2022/12/22,h15,N,0,0,0
2022/12/22,h15,N,0,0,0
2022/12/22,h19,D,2176,82.7,97.1
2022/12/22,h19,D,2176,82.7,97.1
2022/12/22,h19,N,0,0,0
2022/12/22,h19,N,0,0,0
2022/12/23,h01,D,1890,71.8,94.8
2022/12/23,h01,D,1890,71.8,94.8
2022/12/23,h01,N,0,0,0
2022/12/23,h01,N,0,0,0
2022/12/23,h02,D,1970,74.9,94.7
2022/12/23,h02,D,1970,74.9,94.7
2022/12/23,h02,N,0,0,0
2022/12/23,h02,N,0,0,0
2022/12/23,h06,D,2177,70.6,95.6
2022/12/23,h06,D,2177,70.6,95.6
2022/12/23,h06,N,2234,72.5,95.8
2022/12/23,h06,N,2234,72.5,95.8
2022/12/23,h08,D,1975,74.6,94.5
2022/12/23,h08,D,1975,74.6,94.5
2022/12/23,h08,N,0,0,0
2022/12/23,h08,N,0,0,0
2022/12/23,h10,D,2216,71.9,95.5
2022/12/23,h10,D,2216,71.9,95.5
2022/12/23,h10,N,0,0,0
2022/12/23,h10,N,0,0,0
2022/12/23,h14,D,1145,37.2,90.4
2022/12/23,h14,D,1145,37.2,90.4
2022/12/23,h14,N,1837,59.6,93.3
2022/12/23,h14,N,1837,59.6,93.3
2022/12/23,h15,D,0,0,0
2022/12/23,h15,D,0,0,0
2022/12/23,h15,N,0,0,0
2022/12/23,h15,N,0,0,0
2022/12/23,h19,D,1837,69.8,98
2022/12/23,h19,D,1837,69.8,98
2022/12/23,h19,N,0,0,0
2022/12/23,h19,N,0,0,0
2022/12/24,h01,D,2175,82.7,98.1
2022/12/24,h01,D,2175,82.7,98.1
2022/12/24,h01,N,0,0,0
2022/12/24,h01,N,0,0,0
2022/12/24,h02,D,2083,79.2,95.3
2022/12/24,h02,D,2083,79.2,95.3
2022/12/24,h02,N,0,0,0
2022/12/24,h02,N,0,0,0
2022/12/24,h06,D,2250,73,97.1
2022/12/24,h06,D,2250,73,97.1
2022/12/24,h06,N,2297,74.5,97
2022/12/24,h06,N,2297,74.5,97
2022/12/24,h08,D,2121,80.1,95.5
2022/12/24,h08,D,2121,80.1,95.5
2022/12/24,h08,N,0,0,0
2022/12/24,h08,N,0,0,0
2022/12/24,h10,D,2162,70.2,95.9
2022/12/24,h10,D,2162,70.2,95.9
2022/12/24,h10,N,0,0,0
2022/12/24,h10,N,0,0,0
2022/12/24,h14,D,2394,77.7,95.1
2022/12/24,h14,D,2394,77.7,95.1
2022/12/24,h14,N,2375,77.1,92.8
2022/12/24,h14,N,2375,77.1,92.8
2022/12/24,h15,D,0,0,0
2022/12/24,h15,D,0,0,0
2022/12/24,h15,N,0,0,0
2022/12/24,h15,N,0,0,0
2022/12/24,h19,D,2167,82.4,96.4
2022/12/24,h19,D,2167,82.4,96.4
2022/12/24,h19,N,0,0,0
2022/12/24,h19,N,0,0,0
2022/12/25,h01,D,1915,72.8,94.8
2022/12/25,h01,D,1915,72.8,94.8
2022/12/25,h01,N,0,0,0
2022/12/25,h01,N,0,0,0
2022/12/25,h02,D,2019,76.8,93.6
2022/12/25,h02,D,2019,76.8,93.6
2022/12/25,h02,N,0,0,0
2022/12/25,h02,N,0,0,0
2022/12/25,h06,D,2212,71.8,96
2022/12/25,h06,D,2212,71.8,96
2022/12/25,h06,N,2251,73.1,95.7
2022/12/25,h06,N,2251,73.1,95.7
2022/12/25,h08,D,1895,71.6,91.7
2022/12/25,h08,D,1895,71.6,91.7
2022/12/25,h08,N,0,0,0
2022/12/25,h08,N,0,0,0
2022/12/25,h10,D,2162,70.2,95.7
2022/12/25,h10,D,2162,70.2,95.7
2022/12/25,h10,N,0,0,0
2022/12/25,h10,N,0,0,0
2022/12/25,h14,D,2336,75.8,93.6
2022/12/25,h14,D,2336,75.8,93.6
2022/12/25,h14,N,1982,64.3,76.7
2022/12/25,h14,N,1982,64.3,76.7
2022/12/25,h15,D,0,0,0
2022/12/25,h15,D,0,0,0
2022/12/25,h15,N,0,0,0
2022/12/25,h15,N,0,0,0
2022/12/25,h19,D,2244,85.3,97.7
2022/12/25,h19,D,2244,85.3,97.7
2022/12/25,h19,N,0,0,0
2022/12/25,h19,N,0,0,0
2022/12/26,h01,D,1904,72.4,90.1
2022/12/26,h01,D,1904,72.4,90.1
2022/12/26,h01,N,0,0,0
2022/12/26,h01,N,0,0,0
2022/12/26,h02,D,1871,71.1,94.8
2022/12/26,h02,D,1871,71.1,94.8
2022/12/26,h02,N,0,0,0
2022/12/26,h02,N,0,0,0
2022/12/26,h06,D,2192,71.1,96.6
2022/12/26,h06,D,2192,71.1,96.6
2022/12/26,h06,N,2031,65.9,93.7
2022/12/26,h06,N,2031,65.9,93.7
2022/12/26,h08,D,1453,54.9,86.7
2022/12/26,h08,D,1453,54.9,86.7
2022/12/26,h08,N,0,0,0
2022/12/26,h08,N,0,0,0
2022/12/26,h10,D,2104,68.3,96.9
2022/12/26,h10,D,2104,68.3,96.9
2022/12/26,h10,N,0,0,0
2022/12/26,h10,N,0,0,0
2022/12/26,h14,D,763,24.8,72
2022/12/26,h14,D,763,24.8,72
2022/12/26,h14,N,2174,70.6,91.7
2022/12/26,h14,N,2174,70.6,91.7
2022/12/26,h15,D,0,0,0
2022/12/26,h15,D,0,0,0
2022/12/26,h15,N,0,0,0
2022/12/26,h15,N,0,0,0
2022/12/26,h19,D,1986,75.5,93.3
2022/12/26,h19,D,1986,75.5,93.3
2022/12/26,h19,N,16,0.6,100
2022/12/26,h19,N,16,0.6,100
